"","Total","Percentage","Q1_KEY_C","Q2_KEY_B","Q2.2_KEY_B","Q4_KEY_B","Q4.2_KEY_B","Q4.3_KEY_B","Q8_NOKEY","Q9_NOKEY","Q10_NOKEY","Q13_KEY_E","Q14_NOKEY","Q15_NOKEY","Q15.2_NOKEY","Q18_KEY_A","Q19_KEY_A","Q19_KEY_B"
"1",0,"0%","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV"
"2",2,"100%","C","A","B","B","B","B","B","C","A","C","B","B","B","B","B","C"
"3",2,"100%","C","B","C","B","C","NV","B","C","C","E","C","A","NV","NV","A","B"
"4",2,"100%","C","B","B","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV"
"5",2,"100%","C","B","C","C","NV","B","B","C","NV","D","D","C","A","A","NV","B"
"6",0,"0%","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV"
"7",0,"0%","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV"
"8",2,"100%","C","B","C","B","A","A","B","B","C","E","D","B","B","C","NV","B"
"9",2,"100%","C","C","C","B","A","A","B","A","C","NV","C","B","B","A","A","B"
"10",2,"100%","C","C","C","B","A","B","B","C","A","E","C","B","B","A","A","B"
"11",0,"0%","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV"
"12",2,"100%","C","B","B","C","A","B","C","B","B","E","C","B","B","A","A","B"
"13",2,"100%","C","C","C","B","B","B","A","B","B","E","B","B","B","A","A","B"
"14",0,"0%","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV"
"15",2,"100%","C","C","C","B","A","A","C","C","C","E","C","A","C","C","A","NV"
"16",2,"100%","C","C","C","B","B","A","C","B","C","E","B","B","B","A","A","B"
"17",0,"0%","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV"
"18",2,"100%","B","B","C","B","NV","A","A","B","C","NV","C","B","NV","A","A","B"
"19",2,"100%","B","B","C","C","B","B","B","B","C","E","C","B","B","A","A","B"
"20",2,"100%","C","B","C","A","C","B","C","A","B","C","C","A","A","A","A","B"
"21",2,"100%","C","B","NV","B","A","A","B","C","NV","E","C","NV","B","A","NV","B"
"22",0,"0%","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV"
"23",2,"100%","B","C","C","B","NV","A","B","B","C","E","C","B","B","A","A","B"
"24",0,"0%","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV"
"25",0,"0%","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV"
"26",2,"100%","NV","A","A","C","B","B","B","A","C","E","C","A","A","A","A","A"
"27",0,"0%","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV"
"28",2,"100%","C","B","C","B","B","A","B","A","C","C","C","A","A","B","A","C"
"29",2,"100%","C","B","C","B","B","NV","B","C","B","A","C","B","B","A","B","B"
"30",2,"100%","B","B","C","C","A","A","B","NV","C","E","C","A","B","A","A","B"
"31",2,"100%","C","C","C","B","C","B","C","B","C","A","C","B","B","A","A","B"
"32",2,"100%","C","B","NV","B","A","A","B","NV","NV","C","NV","A","NV","B","NV","B"
"33",2,"100%","C","C","C","B","A","B","A","B","C","E","B","A","B","A","A","B"
"34",0,"0%","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV"
"35",2,"100%","C","C","C","B","A","B","B","B","C","D","C","B","B","B","A","B"
"36",2,"100%","C","C","C","C","A","B","A","B","C","E","C","B","B","A","A","A"
"37",2,"100%","C","B","B","C","A","B","B","C","NV","E","C","B","B","A","NV","C"
"38",0,"0%","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV"
"39",0,"0%","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV"
"40",2,"100%","C","C","B","B","B","B","B","C","A","E","C","A","B","A","A","NV"
"41",2,"100%","B","C","A","B","B","B","B","C","C","NV","C","B","B","A","A","B"
"42",0,"0%","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV"
"43",2,"100%","C","A","A","B","B","B","B","C","C","E","D","B","B","A","B","B"
"44",0,"0%","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV"
"45",2,"100%","C","C","NV","B","B","NV","A","B","C","E","C","A","NV","A","A","B"
"46",2,"100%","C","NV","C","NV","NV","NV","NV","NV","NV","E","NV","NV","NV","NV","NV","NV"
"47",2,"100%","C","C","C","B","B","A","C","B","C","E","B","B","NV","A","A","B"
"48",0,"0%","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV"
"49",0,"0%","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV"
"50",2,"100%","C","B","C","B","B","B","C","B","C","E","C","A","B","A","A","B"
"51",0,"0%","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV"
"52",2,"100%","C","B","C","C","A","A","B","A","C","E","C","B","B","B","A","B"
"53",2,"100%","C","C","B","B","B","B","B","C","C","E","C","B","B","A","A","B"
"54",2,"100%","B","C","C","B","B","B","B","C","B","E","C","B","B","A","A","B"
"55",0,"0%","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV"
"56",2,"100%","C","B","C","B","A","A","B","B","C","E","C","B","B","C","A","B"
"57",2,"100%","C","B","B","B","A","B","A","B","C","E","C","A","B","A","A","B"
"58",2,"100%","C","A","B","B","A","NV","B","B","C","E","C","B","NV","A","A","B"
"59",2,"100%","C","C","C","C","A","A","B","C","NV","B","C","A","B","A","A","B"
"60",0,"0%","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV"
"61",2,"100%","B","B","C","C","B","B","C","C","C","D","D","C","NV","A","A","C"
"62",0,"0%","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV"
"63",0,"0%","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV"
"64",2,"100%","C","B","C","B","B","B","A","B","C","E","C","B","B","A","A","B"
"65",0,"0%","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV"
"66",2,"100%","C","B","NV","B","A","A","NV","NV","C","D","NV","B","NV","A","A","NV"
"67",2,"100%","C","B","C","B","B","B","C","B","C","E","C","B","B","A","A","B"
"68",2,"100%","C","A","A","B","A","B","B","B","C","E","C","B","B","A","A","B"
